Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
0, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
5, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
5, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
10, 101, 1881, 75.622009569378, 816.5215311004785, 66.55927698032961, 479.34556087187667, 627.0223285486443, 177.82775119617224, 382.2466772993089, 324.27644869750134, 353.66028708133973, 514.5741626794259, 858.7293992557151, 321.4609250398724, 454.0127591706539, 476.92131844763423, 325.43115364167994, 
10, 102, 7920, 509.4304292929293, 765.4638888888888, 526.8318181818182, 1066.514898989899, 1145.299621212121, 1049.6989898989898, 697.0055555555556, 888.5799242424242, 3693.406565656566, 1196.3723484848485, 1792.8939393939395, 1237.5912878787879, 1012.1791666666667, 1054.73648989899, 886.0580808080808, 
15, 101, 1881, 75.622009569378, 816.5215311004785, 66.55927698032961, 479.34556087187667, 627.0223285486443, 177.82775119617224, 382.2466772993089, 324.27644869750134, 353.66028708133973, 514.5741626794259, 858.7293992557151, 321.4609250398724, 454.0127591706539, 476.92131844763423, 325.43115364167994, 
15, 102, 7920, 509.4304292929293, 765.4638888888888, 526.8318181818182, 1066.514898989899, 1145.299621212121, 1049.6989898989898, 697.0055555555556, 888.5799242424242, 3693.406565656566, 1196.3723484848485, 1792.8939393939395, 1237.5912878787879, 1012.1791666666667, 1054.73648989899, 886.0580808080808, 
20, 101, 1881, 46.962254120148856, 1125.701754385965, 43.24561403508772, 517.3524720893142, 715.3242955874534, 127.81977671451355, 357.33811802232856, 406.3205741626794, 331.41148325358853, 558.4183944710261, 870.4582668793195, 318.99202551834134, 477.91653375863905, 502.1860712387028, 357.39234449760767, 
20, 102, 7920, 690.8040404040404, 1182.1944444444443, 750.8709595959596, 1457.0722222222223, 1627.1890151515152, 1410.554797979798, 776.0161616161616, 1277.5698232323232, 3798.27601010101, 1427.2867424242424, 2455.273863636364, 1858.5646464646466, 1311.4531565656566, 1458.458712121212, 1216.477398989899, 
25, 101, 1881, 46.962254120148856, 1125.701754385965, 43.24561403508772, 517.3524720893142, 715.3242955874534, 127.81977671451355, 357.33811802232856, 406.3205741626794, 331.41148325358853, 558.4183944710261, 870.4582668793195, 318.99202551834134, 477.91653375863905, 502.1860712387028, 357.39234449760767, 
25, 102, 7920, 690.8040404040404, 1182.1944444444443, 750.8709595959596, 1457.0722222222223, 1627.1890151515152, 1410.554797979798, 776.0161616161616, 1277.5698232323232, 3798.27601010101, 1427.2867424242424, 2455.273863636364, 1858.5646464646466, 1311.4531565656566, 1458.458712121212, 1216.477398989899, 
